"filename", "language", "PHP", "Markdown", "JSON", "comment", "blank", "total"
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 27, 0, 0, 7, 3, 37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 20, 0, 0, 6, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 20, 0, 0, 6, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 13, 0, 0, 12, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 13, 0, 0, 12, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 27, 0, 0, 7, 3, 37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 27, 0, 0, 6, 3, 36
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php", "PHP", 22, 0, 0, 7, 3, 32
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php", "PHP", 20, 0, 0, 6, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php", "PHP", 27, 0, 0, 8, 3, 38
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ku.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-mn.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php", "PHP", 27, 0, 0, 4, 3, 34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php", "PHP", 27, 0, 0, 5, 3, 35
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php", "PHP", 27, 0, 0, 4, 3, 34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php", "PHP", 27, 0, 0, 9, 3, 39
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php", "PHP", 27, 0, 0, 4, 3, 34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php", "PHP", 27, 0, 0, 7, 3, 37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-si.php", "PHP", 27, 0, 0, 5, 3, 35
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php", "PHP", 22, 0, 0, 6, 3, 31
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php", "PHP", 27, 0, 0, 7, 3, 37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr.php", "PHP", 20, 0, 0, 6, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php", "PHP", 20, 0, 0, 6, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sv.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-tl.php", "PHP", 20, 0, 0, 6, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-tr.php", "PHP", 27, 0, 0, 9, 3, 39
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-uk.php", "PHP", 20, 0, 0, 6, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ur.php", "PHP", 23, 0, 0, 5, 3, 31
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-vi.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh.php", "PHP", 20, 0, 0, 7, 3, 30
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php", "PHP", 27, 0, 0, 7, 3, 37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\DSNConfigurator.php", "PHP", 136, 0, 0, 80, 30, 246
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\Exception.php", "PHP", 9, 0, 0, 28, 4, 41
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\OAuth.php", "PHP", 46, 0, 0, 79, 15, 140
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\OAuthTokenProvider.php", "PHP", 6, 0, 0, 35, 4, 45
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\PHPMailer.php", "PHP", 2926, 0, 0, 1929, 394, 5249
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\POP3.php", "PHP", 183, 0, 0, 234, 53, 470
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\SMTP.php", "PHP", 747, 0, 0, 619, 144, 1510
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\LICENSE.md", "Markdown", 0, 19, 0, 0, 3, 22
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\README.md", "Markdown", 0, 5, 0, 0, 4, 9
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\composer.json", "JSON", 0, 0, 25, 0, 1, 26
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\src\CacheException.php", "PHP", 5, 0, 0, 3, 3, 11
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\src\CacheInterface.php", "PHP", 13, 0, 0, 92, 10, 115
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\src\InvalidArgumentException.php", "PHP", 5, 0, 0, 6, 3, 14
"Total", "-", 9313, 977, 765, 5542, 2338, 18935
