"filename", "language", "Markdown", "HTML", "JavaScript", "PHP", "JSON", "comment", "blank", "total"
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php", "PHP", 0, 0, 0, -22, 0, -6, -3, -31
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php", "PHP", 0, 0, 0, -27, 0, -7, -3, -37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr.php", "PHP", 0, 0, 0, -20, 0, -6, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php", "PHP", 0, 0, 0, -20, 0, -6, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-sv.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-tl.php", "PHP", 0, 0, 0, -20, 0, -6, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-tr.php", "PHP", 0, 0, 0, -27, 0, -9, -3, -39
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-uk.php", "PHP", 0, 0, 0, -20, 0, -6, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ur.php", "PHP", 0, 0, 0, -23, 0, -5, -3, -31
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-vi.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh.php", "PHP", 0, 0, 0, -20, 0, -7, -3, -30
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php", "PHP", 0, 0, 0, -27, 0, -7, -3, -37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\DSNConfigurator.php", "PHP", 0, 0, 0, -136, 0, -80, -30, -246
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\Exception.php", "PHP", 0, 0, 0, -9, 0, -28, -4, -41
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\OAuth.php", "PHP", 0, 0, 0, -46, 0, -79, -15, -140
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\OAuthTokenProvider.php", "PHP", 0, 0, 0, -6, 0, -35, -4, -45
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\PHPMailer.php", "PHP", 0, 0, 0, -2926, 0, -1929, -394, -5249
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\POP3.php", "PHP", 0, 0, 0, -183, 0, -234, -53, -470
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\src\SMTP.php", "PHP", 0, 0, 0, -747, 0, -619, -144, -1510
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\LICENSE.md", "Markdown", -19, 0, 0, 0, 0, 0, -3, -22
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\README.md", "Markdown", -5, 0, 0, 0, 0, 0, -4, -9
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\composer.json", "JSON", 0, 0, 0, 0, -25, 0, -1, -26
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\src\CacheException.php", "PHP", 0, 0, 0, -5, 0, -3, -3, -11
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\src\CacheInterface.php", "PHP", 0, 0, 0, -13, 0, -92, -10, -115
"d:\AppData\Apache\local\phpend\api\v1\vendor\psr\simple-cache\src\InvalidArgumentException.php", "PHP", 0, 0, 0, -5, 0, -6, -3, -14
"d:\AppData\Apache\local\phpend\reset\include\main.js", "JavaScript", 0, 0, 39, 0, 0, 1, 5, 45
"d:\AppData\Apache\local\phpend\reset\index.html", "HTML", 0, 19, 0, 0, 0, 4, 16, 39
"d:\AppData\Apache\local\phpend\verify\include\main.js", "JavaScript", 0, 0, 40, 0, 0, 0, 7, 47
"d:\AppData\Apache\local\phpend\verify\index.html", "HTML", 0, 15, 0, 0, 0, 4, 15, 34
"Total", "-", -889, 34, 79, -7493, -203, -4289, -1649, -14410
